Date,IncidenceOfDiabetes,PrevalenceOfDiabetes
2013-01-28,5,24
2013-01-29,2,27
2013-01-30,6,29
2013-01-31,3,21
2013-02-01,5,25
2013-02-02,0,3
2013-02-03,0,0
2013-02-04,0,33
2013-02-05,3,27
2013-02-06,5,29
2013-02-07,2,22
2013-02-08,5,27
2013-02-09,0,0
2013-02-10,0,0
2013-02-11,0,12
2013-02-12,0,21
2013-02-13,4,24
2013-02-14,2,21
2013-02-15,2,12
2013-02-16,1,1
2013-02-17,0,0
2013-02-18,7,31
2013-02-19,2,36
2013-02-20,1,21
2013-02-21,2,16
2013-02-22,4,21
2013-02-23,0,0
2013-02-24,0,1
2013-02-25,3,20
2013-02-26,3,22
2013-02-27,2,20
2013-02-28,5,28
2013-03-01,1,18
2013-03-02,0,0
2013-03-03,1,1
2013-03-04,2,14
2013-03-05,6,18
2013-03-06,3,18
2013-03-07,3,14
2013-03-08,2,27
2013-03-09,0,1
2013-03-10,0,1
2013-03-11,5,25
2013-03-12,6,23
2013-03-13,5,20
2013-03-14,3,23
2013-03-15,5,29
2013-03-16,1,2
2013-03-17,1,1
2013-03-18,2,14
2013-03-19,5,23
2013-03-20,2,19
2013-03-21,3,17
2013-03-22,3,18
2013-03-23,0,0
2013-03-24,0,0
2013-03-25,1,18
2013-03-26,7,30
2013-03-27,5,18
2013-03-28,1,6
2013-03-29,0,0
2013-03-30,0,0
2013-03-31,1,1
2013-04-01,2,4
2013-04-02,2,22
2013-04-03,5,16
2013-04-04,1,20
2013-04-05,5,15
2013-04-06,0,0
2013-04-07,0,0
2013-04-08,8,29
2013-04-09,2,15
2013-04-10,5,20
2013-04-11,4,18
2013-04-12,2,17
2013-04-13,0,0
2013-04-14,1,1
2013-04-15,6,20
2013-04-16,4,15
2013-04-17,1,14
2013-04-18,5,21
2013-04-19,2,10
2013-04-20,0,0
2013-04-21,0,0
2013-04-22,3,25
2013-04-23,4,18
2013-04-24,1,22
2013-04-25,5,18
2013-04-26,3,19
2013-04-27,0,2
2013-04-28,0,0
2013-04-29,5,22
2013-04-30,5,25
2013-05-01,4,15
2013-05-02,3,14
2013-05-03,1,20
2013-05-04,0,0
2013-05-05,0,0
2013-05-06,0,0
2013-05-07,6,40
2013-05-08,3,22
2013-05-09,0,9
2013-05-10,4,16
2013-05-11,0,1
2013-05-12,0,0
2013-05-13,4,15
2013-05-14,4,18
2013-05-15,1,19
2013-05-16,1,15
2013-05-17,4,17
2013-05-18,0,0
2013-05-19,0,0
2013-05-20,10,33
2013-05-21,3,21
2013-05-22,4,20
2013-05-23,2,21
2013-05-24,3,24
2013-05-25,0,0
2013-05-26,0,0
2013-05-27,0,0
2013-05-28,0,9
2013-05-29,1,17
2013-05-30,1,11
2013-05-31,5,22
2013-06-01,2,2
2013-06-02,0,0
2013-06-03,2,10
2013-06-04,5,21
2013-06-05,5,18
2013-06-06,1,11
2013-06-07,6,17
2013-06-08,0,0
