Date,IncidenceOfCardiovascular,PrevalenceOfCardiovascular
2017-12-10,2,6
2017-12-11,9,55
2017-12-12,12,57
2017-12-13,13,51
2017-12-14,10,60
2017-12-15,4,49
2017-12-16,3,3
2017-12-17,4,8
2017-12-18,15,80
2017-12-19,8,63
2017-12-20,13,49
2017-12-21,8,38
2017-12-22,10,41
2017-12-23,4,7
2017-12-24,3,7
2017-12-25,1,2
2017-12-26,2,4
2017-12-27,8,32
2017-12-28,9,39
2017-12-29,8,30
2017-12-30,1,3
2017-12-31,3,4
2018-01-01,11,22
2018-01-02,11,54
2018-01-03,9,44
2018-01-04,18,60
2018-01-05,9,41
2018-01-06,0,5
2018-01-07,0,0
2018-01-08,22,71
2018-01-09,10,70
2018-01-10,8,42
2018-01-11,26,78
2018-01-12,11,53
2018-01-13,2,6
2018-01-14,1,5
2018-01-15,15,64
2018-01-16,12,58
2018-01-17,17,49
2018-01-18,18,63
2018-01-19,9,50
2018-01-20,4,12
2018-01-21,3,7
2018-01-22,14,71
2018-01-23,19,61
2018-01-24,12,61
2018-01-25,17,62
2018-01-26,11,51
2018-01-27,1,6
2018-01-28,1,6
2018-01-29,16,62
2018-01-30,16,63
2018-01-31,11,46
2018-02-01,15,60
2018-02-02,15,41
2018-02-03,4,5
2018-02-04,1,4
2018-02-05,13,58
2018-02-06,21,68
2018-02-07,16,63
2018-02-08,11,39
2018-02-09,11,44
2018-02-10,3,6
2018-02-11,2,4
2018-02-12,13,66
2018-02-13,11,56
2018-02-14,17,49
2018-02-15,12,53
2018-02-16,11,45
2018-02-17,1,2
2018-02-18,3,4
2018-02-19,13,49
2018-02-20,10,58
2018-02-21,9,43
2018-02-22,12,56
2018-02-23,12,37
2018-02-24,0,4
2018-02-25,1,3
2018-02-26,9,53
2018-02-27,10,47
2018-02-28,19,57
2018-03-01,8,49
2018-03-02,10,46
2018-03-03,2,3
2018-03-04,5,8
2018-03-05,10,48
2018-03-06,15,68
2018-03-07,10,66
2018-03-08,22,63
2018-03-09,16,38
2018-03-10,5,7
2018-03-11,1,3
2018-03-12,13,59
2018-03-13,15,63
2018-03-14,9,42
2018-03-15,17,52
2018-03-16,15,48
2018-03-17,1,4
2018-03-18,3,4
2018-03-19,8,48
2018-03-20,15,57
2018-03-21,13,42
2018-03-22,15,53
2018-03-23,14,56
2018-03-24,2,6
2018-03-25,5,8
2018-03-26,25,92
2018-03-27,11,60
2018-03-28,13,67
2018-03-29,12,61
2018-03-30,2,7
2018-03-31,4,5
2018-04-01,4,12
2018-04-02,2,7
2018-04-03,12,61
2018-04-04,10,50
2018-04-05,14,53
2018-04-06,18,60
2018-04-07,1,5
2018-04-08,0,1
2018-04-09,17,62
2018-04-10,8,53
2018-04-11,12,50
2018-04-12,10,54
2018-04-13,10,42
2018-04-14,6,11
2018-04-15,1,5
2018-04-16,13,79
2018-04-17,12,49
2018-04-18,11,45
2018-04-19,12,39
2018-04-20,11,40
2018-04-21,5,9
2018-04-22,6,8
2018-04-23,18,73
2018-04-24,20,80
2018-04-25,8,42
2018-04-26,17,56
2018-04-27,15,49
2018-04-28,1,5
2018-04-29,3,7
2018-04-30,16,73
2018-05-01,23,63
2018-05-02,14,56
2018-05-03,21,63
2018-05-04,9,48
2018-05-05,2,5
2018-05-06,4,4
2018-05-07,2,3
2018-05-08,10,58
2018-05-09,14,61
2018-05-10,11,59
2018-05-11,14,51
2018-05-12,2,6
2018-05-13,4,5
2018-05-14,15,95
2018-05-15,22,117
2018-05-16,6,76
2018-05-17,20,57
2018-05-18,14,67
2018-05-19,3,5
2018-05-20,4,5
2018-05-21,10,88
2018-05-22,9,72
2018-05-23,10,75
2018-05-24,18,68
2018-05-25,18,55
2018-05-26,2,5
2018-05-27,3,6
2018-05-28,1,2
2018-05-29,13,56
2018-05-30,9,50
2018-05-31,8,49
2018-06-01,16,63
2018-06-02,2,5
2018-06-03,2,5
2018-06-04,23,76
2018-06-05,10,68
2018-06-06,19,92
2018-06-07,17,65
2018-06-08,11,51
2018-06-09,1,6
2018-06-10,2,2
2018-06-11,7,54
