Date,IncidenceOfAntidepressants,PrevalenceOfAntidepressants
2017-09-21,10,965
2017-09-22,15,789
2017-09-23,0,24
2017-09-24,0,6
2017-09-25,17,1181
2017-09-26,15,1095
2017-09-27,17,945
2017-09-28,21,960
2017-09-29,17,885
2017-09-30,0,10
2017-10-01,0,8
2017-10-02,18,1143
2017-10-03,14,986
2017-10-04,18,1023
2017-10-05,23,908
2017-10-06,17,840
2017-10-07,0,9
2017-10-08,0,10
2017-10-09,13,1182
2017-10-10,13,1031
2017-10-11,19,984
2017-10-12,16,955
2017-10-13,16,845
2017-10-14,0,9
2017-10-15,0,5
2017-10-16,25,1229
2017-10-17,16,1041
2017-10-18,11,941
2017-10-19,20,938
2017-10-20,20,936
2017-10-21,1,17
2017-10-22,0,7
2017-10-23,14,1038
2017-10-24,12,1134
2017-10-25,18,887
2017-10-26,12,827
2017-10-27,13,904
2017-10-28,0,26
2017-10-29,0,16
2017-10-30,15,1129
2017-10-31,19,1112
2017-11-01,8,960
2017-11-02,19,848
2017-11-03,20,977
2017-11-04,1,15
2017-11-05,0,6
2017-11-06,20,1100
2017-11-07,9,1009
2017-11-08,12,997
2017-11-09,21,968
2017-11-10,18,952
2017-11-11,2,15
2017-11-12,0,8
2017-11-13,18,1216
2017-11-14,9,1048
2017-11-15,11,930
2017-11-16,15,908
2017-11-17,16,864
2017-11-18,1,12
2017-11-19,0,3
2017-11-20,17,1192
2017-11-21,21,1109
2017-11-22,16,918
2017-11-23,14,915
2017-11-24,9,865
2017-11-25,0,15
2017-11-26,0,3
2017-11-27,10,1255
2017-11-28,14,1085
2017-11-29,7,984
2017-11-30,13,983
2017-12-01,11,842
2017-12-02,1,17
2017-12-03,0,7
2017-12-04,11,1244
2017-12-05,17,1039
2017-12-06,16,949
2017-12-07,11,907
2017-12-08,12,830
2017-12-09,0,21
2017-12-10,0,9
2017-12-11,15,1336
2017-12-12,19,1157
2017-12-13,15,1008
2017-12-14,9,932
2017-12-15,12,939
2017-12-16,0,35
2017-12-17,0,48
2017-12-18,12,1428
2017-12-19,14,1263
2017-12-20,17,1160
2017-12-21,8,910
2017-12-22,10,916
2017-12-23,1,31
2017-12-24,0,11
2017-12-25,0,332
2017-12-26,0,292
2017-12-27,10,948
2017-12-28,6,873
2017-12-29,13,843
2017-12-30,0,14
2017-12-31,0,33
2018-01-01,0,290
2018-01-02,14,1059
2018-01-03,10,1039
2018-01-04,15,1002
2018-01-05,17,961
2018-01-06,2,27
2018-01-07,0,10
2018-01-08,11,1145
2018-01-09,22,1062
2018-01-10,17,1081
2018-01-11,17,971
2018-01-12,11,906
2018-01-13,0,26
2018-01-14,2,9
2018-01-15,18,1073
2018-01-16,13,1028
2018-01-17,8,990
2018-01-18,7,934
2018-01-19,15,836
2018-01-20,0,12
2018-01-21,0,5
2018-01-22,10,932
2018-01-23,18,1003
2018-01-24,7,937
2018-01-25,17,864
2018-01-26,19,801
2018-01-27,1,17
2018-01-28,0,6
2018-01-29,11,1064
2018-01-30,14,967
2018-01-31,16,901
2018-02-01,10,919
2018-02-02,13,852
2018-02-03,1,12
2018-02-04,0,9
2018-02-05,25,1114
2018-02-06,14,998
2018-02-07,21,967
2018-02-08,13,888
2018-02-09,16,827
2018-02-10,0,11
2018-02-11,0,9
2018-02-12,16,1132
2018-02-13,19,954
2018-02-14,14,960
2018-02-15,12,838
2018-02-16,19,817
2018-02-17,0,16
2018-02-18,1,5
2018-02-19,13,1092
2018-02-20,6,950
2018-02-21,9,912
2018-02-22,12,820
2018-02-23,15,809
2018-02-24,0,14
2018-02-25,0,5
2018-02-26,15,1219
2018-02-27,10,905
2018-02-28,15,891
2018-03-01,14,864
2018-03-02,13,867
2018-03-03,0,10
2018-03-04,0,7
2018-03-05,19,1225
2018-03-06,19,1034
2018-03-07,10,988
2018-03-08,16,927
2018-03-09,16,882
2018-03-10,0,15
2018-03-11,0,6
2018-03-12,17,1204
2018-03-13,7,965
2018-03-14,20,844
2018-03-15,9,854
2018-03-16,13,818
2018-03-17,0,11
2018-03-18,0,5
2018-03-19,7,1125
2018-03-20,11,1010
2018-03-21,13,897
2018-03-22,14,894
2018-03-23,12,831
2018-03-24,0,15
2018-03-25,0,7
2018-03-26,14,1216
2018-03-27,6,1079
2018-03-28,9,906
2018-03-29,16,1094
2018-03-30,0,198
2018-03-31,0,7
2018-04-01,0,4
2018-04-02,0,347
2018-04-03,18,1177
2018-04-04,10,1171
2018-04-05,8,1039
2018-04-06,16,869
2018-04-07,0,7
2018-04-08,0,9
2018-04-09,12,1156
2018-04-10,10,1099
2018-04-11,12,925
2018-04-12,11,865
2018-04-13,24,810
2018-04-14,1,8
2018-04-15,0,13
2018-04-16,12,1119
2018-04-17,16,1033
2018-04-18,19,920
2018-04-19,15,895
2018-04-20,11,801
2018-04-21,0,7
2018-04-22,0,4
2018-04-23,18,1094
2018-04-24,5,1004
2018-04-25,14,962
2018-04-26,18,888
2018-04-27,18,777
2018-04-28,1,8
2018-04-29,0,3
2018-04-30,18,1218
2018-05-01,11,1054
2018-05-02,15,980
2018-05-03,11,979
2018-05-04,12,929
2018-05-05,0,12
2018-05-06,1,12
2018-05-07,0,330
2018-05-08,14,1141
2018-05-09,21,1044
2018-05-10,12,1015
2018-05-11,17,823
2018-05-12,0,19
2018-05-13,0,8
2018-05-14,21,1100
2018-05-15,11,933
2018-05-16,15,878
2018-05-17,20,920
2018-05-18,12,833
2018-05-19,0,13
